Trial Number,Stations Used,Number of Stations Used,Number of CPUs Allocated for Ray to Use,GPUs Used,VRAM Used Per Task,Number of Stations Running Predictions Concurrently,Intra-parallelism Threads,Inter-parallelism Threads,Total Run time for Picker (s),Trial Success,Error Message
23.0,"['PL01', 'EF75']",2,1,[0],3712.5,1,1.0,1.0,7.010377,1.0,
24.0,"['PB11', 'MID03']",2,1,[0],4950.0,1,1.0,1.0,7.072126,1.0,
25.0,"['WB06', 'EF02']",2,1,[0],6187.5,1,1.0,1.0,7.012558,1.0,
26.0,"['AT01', 'SMWD']",2,1,[0],7425.0,1,1.0,1.0,6.990545,1.0,
27.0,"['EF75', 'PB52']",2,1,[0],8662.5,1,1.0,1.0,7.015062,1.0,
28.0,"['EF63', 'CF01']",2,1,[0],9900.0,1,1.0,1.0,7.11516,1.0,
29.0,"['EF02', 'EF75']",2,1,[0],11137.5,1,1.0,1.0,7.042225,1.0,
30.0,"['DG09', 'MO01']",2,1,[0],12375.0,1,1.0,1.0,6.989783,1.0,
31.0,"['DG05', 'HBVL']",2,1,[0],13612.5,1,1.0,1.0,7.111681,1.0,
32.0,"['PB16', 'EF63']",2,1,[0],14850.0,1,1.0,1.0,7.120141,1.0,
33.0,"['MB19', 'MID01']",2,1,[0],16087.5,1,1.0,1.0,7.008738,1.0,
34.0,"['DG05', 'PB11']",2,1,[0],17325.0,1,1.0,1.0,7.073954,1.0,
35.0,"['PB52', 'PB04']",2,1,[0],18562.5,1,1.0,1.0,7.073122,1.0,
36.0,"['WB12', 'BP01']",2,1,[0],19800.0,1,1.0,1.0,7.090015,1.0,
37.0,"['DB02', 'MB09']",2,1,[0],21037.5,1,1.0,1.0,7.114879,1.0,
38.0,"['ODSA', 'EF75']",2,1,[0],22275.0,1,1.0,1.0,7.317911,1.0,
39.0,"['PB35', 'EF75']",2,1,[0],23512.5,1,1.0,1.0,7.135503,1.0,
40.0,"['MB25', 'MID01']",2,1,[0],24750.0,1,1.0,1.0,7.16967,1.0,
41.0,"['HNDO', 'MID01']",2,1,[0],618.75,2,1.0,1.0,10.094845,1.0,
42.0,"['PB16', 'SMWD']",2,1,[0],1237.5,2,1.0,1.0,10.095562,1.0,
43.0,"['WB06', 'BB01']",2,1,[0],1856.25,2,1.0,1.0,10.275152,1.0,
44.0,"['PB35', 'SM03']",2,1,[0],2475.0,2,1.0,1.0,10.112767,1.0,
45.0,"['MID03', 'PB54']",2,1,[0],3093.75,2,1.0,1.0,10.123673,1.0,
46.0,"['EF76', 'MID03']",2,1,[0],3712.5,2,1.0,1.0,10.209987,1.0,
47.0,"['CT02', 'PB34']",2,1,[0],4331.25,2,1.0,1.0,10.122501,1.0,
48.0,"['FW13', 'WB11']",2,1,[0],4950.0,2,1.0,1.0,10.137569,1.0,
49.0,"['FOAK4', 'EF63']",2,1,[0],5568.75,2,1.0,1.0,10.236035,1.0,
50.0,"['PB54', 'MB13']",2,1,[0],6187.5,2,1.0,1.0,10.165515,1.0,
51.0,"['PB34', 'DB02']",2,1,[0],6806.25,2,1.0,1.0,10.105448,1.0,
52.0,"['PB54', 'MO01']",2,1,[0],7425.0,2,1.0,1.0,10.160269,1.0,
53.0,"['PECS', 'EF54']",2,1,[0],8043.75,2,1.0,1.0,10.172215,1.0,
54.0,"['EF76', 'MB13']",2,1,[0],8662.5,2,1.0,1.0,10.227847,1.0,
55.0,"['PB11', 'MID01']",2,1,[0],9281.25,2,1.0,1.0,10.267045,1.0,
56.0,"['MB25', 'MO01']",2,1,[0],9900.0,2,1.0,1.0,10.272573,1.0,
57.0,"['SM03', 'PB39']",2,1,[0],10518.75,2,1.0,1.0,10.329742,1.0,
58.0,"['MB19', 'AT01']",2,1,[0],11137.5,2,1.0,1.0,10.344987,1.0,
59.0,"['MB13', 'PL01']",2,1,[0],11756.25,2,1.0,1.0,10.284113,1.0,
60.0,"['MO01', 'DG09']",2,1,[0],12375.0,2,1.0,1.0,10.190813,1.0,
